Incident Category,Incident Reason,Incident Reason Name,Incident Category Description,Incident Reason Description,Incident JPIP Category,Incident Category Super Group Code
101,IB,POINTS FLR,Points failures,Points failure,Non-Track Assets,NTAG
101,IP,POINT HEAT,Points failures,Points failure due snow/frost where heaters fitted but not operative or defectiv,Non-Track Assets,NTAG
101,JT,NO PNT HTR,Points failures,Points failure caused by snow or frost where heaters are not fitted,Non-Track Assets,NTAG
102,IQ,TRACK SIGN,Problems with trackside signs including TSR boards,"Trackside sign blown down, missing, defective, mis-placed",Network Management / Other,MCG
103,ID,LEVEL XING,Level crossing failures,Level crossing failure incl. barrow/foot crossings & crossing treadles,Non-Track Assets,NTAG
104A,IX,UNPLND TSR,TSRs Due to Condition of Track,Temporary speed restriction outside rules of route,Track,TAG
104A,JA,TSRNOT EAS,TSRs Due to Condition of Track,TSR speeds for Track-work outside the Rules of the Route,Track,TAG
104A,JS,TRACK COND,TSRs Due to Condition of Track,Condition of Track TSR outside the Timetable Planning Rules,Track,TAG
104B,IR,RAIL FLAW,Track Faults including Broken Rails,Broken/cracked/twisted/buckled/flawed rail,Track,TAG
104B,IS,TRACK FLT,Track Faults including Broken Rails,"Track defects (other than rail defects) inc. fish plates, wet beds etc.",Track,TAG
104B,IT,TRACK NFF,Track Faults including Broken Rails,Rough ride or Bumps reported - cause not known,Track,TAG
104C,JO,RCF,Gauge Corner Cracking,Rolling Contact Fatigue,Track,TAG
104D,JB,TSR REACTN,Reactionary delay to P-coded TSRs,"Reactionary Delay to ""P"" coded TSRs",Track,TAG
104D,QL,PLND TSR,Reactionary delay to P-coded TSRs,"Reactionary Delay to ""P"" coded TSRs",Track,TAG
105,IV,EARTHSLIP,"Civil Engineering structures, earthworks & buildings",Earthslip/subsidence/breached sea defences (not the result of severe weather on the day of failure),"Severe Weather, Autumn & Structures",WSG
105,JD,STRUCTURES,"Civil Engineering structures, earthworks & buildings",Structures - Bridges/tunnels/buildings/embankments (not bridge strikes),"Severe Weather, Autumn & Structures",WSG
105,JI,SWING BDGE,"Civil Engineering structures, earthworks & buildings",Swing/lifting bridge failure,"Severe Weather, Autumn & Structures",WSG
105,QD,STRUCTURES,"Civil Engineering structures, earthworks & buildings",AUTOGENERATED - NOT IN USE,"Severe Weather, Autumn & Structures",WSG
106,I8,ANIMAL,Other infrastructure,Animal Strike or Incursion within the control of Network Rail,Network Management / Other,MCG
106,IZ,INF OTHER,Other infrastructure,Other Infrastructure causes,Network Management / Other,MCG
