Operator - Affected,Operator Name - Affected
A1,National
A2,England & Wales
A3,LSE
A4,LD
A5,Regional
A6,SCO
D1,Freightliner Inf
D2,Freightliner HH
DB,Freightliner Intermodal
E1,GWR Charters
EA,EWS
EA,TPE
EB,Greater Anglia
EC,Grand Central
ED,Northern
EE,Heathrow Connect
EF,FGW
EF,GWR
EG,FCC
EH,CrossCountry
EI,Wrexham & Shrops
EJ,London Midland
EK,London Overground
EM,EMT
ES,Caledonian Sleeper
ET,GTR
EX,TfL Rail
FD,EWS Int
FE,EWS MlF
FL,EWS Tr
FM,DB Schenker Res
GA,Eurostar Int
HA,ScotRail
HB,Virgin Trains East Coast
HC,ATN
HD,FNW
HE,Merseyrail
HF,Virgin Trains West Coast
HG,Central
HH,VXC
HI,MML
HJ,GWR HSTs
HK,Wales & West
HK,Wessex
HL,ATW
HL,Cdf Rly Co
HM,HEx
HN,GWRL
HN,Thames
HO,Chiltern
HP,Silverlink
HQ,WAGN
HR,FGE
HS,Anglia
HT,c2c
HU,Southeastern
HV,GEX
HW,Southern
HX,Thameslink
HY,SSWT
HZ,Island Line
LC,Loram
LN,GNWR
LR,Network Rail
NP,Nat Power
P1,GB Rail Eng
P2,Victa Westlink Rail - Passenger
P3,Advenza Charters
P4,GB Railfreight - Charters
P5,WCRL - Infrastructure
P6,DCR Infrastructure
P8,Rail Operations Group - Charters
PA,WCRL
PC,VSOE
PD,Mendip
PE,GB Railfreight
PF,Hull Trains
PG,DB Regio Tyne & Wear Metro
PH,Rail Operations Group
PI,Advenza Freight
PJ,Victa Westlink Rail
PK,PreMet
PN,Freight Europe
PO,DCR
PR,NYMR
PS,SNCF
PT,Europorte Channel
PV,VICTA RAIL
R1,Fastline Infra
R2,Colas Infrastucture
R4,Harsco Rail Freight
RB,Carillion Rail
RD,SB (Swietelsky Babcock) Rail
RE,AMEY
RG,Colas Freight
RH,Volker Rail
RJ,Fastline Freight
RQ,Carillion
RR,JSD R&D Ltd
RT,Harsco
