STANOX NO.,FULL NAME,CRS CODE,NR ROUTE
5,AACHEN,,Non Britain
88601,ABBEY WOOD,ABW,Kent
4309,ABBEYHILL JN,,Scotland
45185,ABBOTS RIPTON,,LNE
67371,ABBOTSWOOD JN,,Western
2106,ABDN CRGN,,Scotland
78371,ABER,ABE,Wales
40023,ABER GROUND FRAME,,Wales
79760,ABERAIDEN SOUTH,,Wales
76639,ABERBEEG,,Wales
78128,ABERCWMBOI,,Wales
78204,ABERCYNON,ACY,Wales
78205,ABERCYNON JUNCTION,,Wales
78100,ABERDARE,ABA,Wales
2071,ABERDEEN,ABD,Scotland
2075,ABERDEEN CLAYHILLS CAR.M.D,XAC,Scotland
2105,ABERDEEN CRAIGINCH LAFARGE,,Scotland
2102,ABERDEEN CRAIGINCHES (DRS),,Scotland
2104,ABERDEEN CRAIGINCHES FHH,,Scotland
2101,ABERDEEN CRAIGINCHES T.C.,,Scotland
2083,ABERDEEN FERRYHILL DN SDGS,,Scotland
2084,ABERDEEN FERRYHILL G.L.,,Scotland
2082,ABERDEEN FERRYHILL JN,,Scotland
2086,ABERDEEN FERRYHILL UP SDGS,,Scotland
2076,ABERDEEN GUILD STREET GBRF,,Scotland
2077,ABERDEEN H.S.,,Scotland
2067,ABERDEEN NORTH SIDING,,Scotland
2069,ABERDEEN PARCELS DOCK,,Scotland
2074,ABERDEEN RUSSELL J.G.,,Scotland
2080,ABERDEEN SIG A27,,Scotland
2078,ABERDEEN SIG A75,,Scotland
2079,ABERDEEN SIG A77,,Scotland
2061,ABERDEEN WATERLOO,,Scotland
2062,ABERDEEN WATERLOO (GBRF),,Scotland
3295,ABERDOUR,AUR,Scotland
64409,ABERDOVEY,AVY,Wales
78101,ABERDRE,,Wales
64506,ABERERCH,ABH,Wales
76251,ABERGAVENNY,AGV,Wales
76250,ABERGAVENNY UP SIDINGS,,Wales
40073,ABERGELE & PENSARN,AGL,Wales
64306,ABERMULE L.C.,,Wales
79519,ABERPERGWM,,Wales
78903,ABERTHAW,,Wales
78916,ABERTHAW AW222,,Wales
78919,ABERTHAW AW231,,Wales
78902,ABERTHAW CEMENT WKS LAFARG,,Wales
78905,ABERTHAW CEMENT WORKS,,Wales
78904,ABERTHAW POWER STATION EWS,,Wales
78908,ABERTHAW PWR STN FLINE HVY,,Wales
78906,ABERTHAW REC SDGS,,Wales
78900,ABERTHAW SIGNAL A39,,Wales
78907,ABERTHCSD,,Wales
78909,ABERTHWRP,,Wales
64607,ABERYSTWYTH,AYW,Wales
64609,ABERYSTWYTH RUN ROUND LOOP,,Wales
64608,ABERYSTWYTH SHELL SDGS,,Wales
7972,ABINGTON,,Scotland
7947,ABINGTON C.E.,,Scotland
7971,ABINGTON D.P.L.,,Scotland
7948,ABINGTON DOWN SIDING,,Scotland
7970,ABINGTON U.P.L.,,Scotland
7299,ABRONHILL TUNNEL,,Scotland
29061,ACCRINGTON,ACR,LNW
1081,ACHANALT,AAT,Scotland
1028,ACHEILDH,,Scotland
752,ACHERES,,Non Britain
1079,ACHNASHEEN,ACN,Scotland
1080,ACHNASHEEN C.E.,,Scotland
1078,ACHNASHELLACH,ACH,Scotland
1087,ACHTERNEED,,Scotland
12115,ACKLINGTON,ACK,LNE
48056,ACLE,ACL,Anglia
66430,ACOCKS GREEN,ACG,LNW
37001,ACTON BRIDGE,ACB,LNW
72235,ACTON CANAL WHARF,,Anglia
72252,ACTON CENTRAL,ACC,Anglia
73238,ACTON FOSTER YEOMAN,,Western
35555,ACTON GRANGE JN,,LNW
72209,ACTON LANE REC SDGS GBRF,,LNW
72211,ACTON LANE RECEPTION SDGS,,LNW
73249,ACTON LOCO HOLDING SIDINGS,,Western
73240,ACTON MAIN LINE,AML,Western
