Service Group Code - Affected,TSC - Affected,TSC Description - Affected
1,1000101,Unknown
3,12000345,National Adjustment Freight TOCs
300,56030020,DBC UK: Royal Mail Services
300,72030004,Post Office Parcels Train
301,72030104,Post Office Parcels Trains Scottish Region Electric Power
302,72030204,DBC UK: Passenger Stock Moves
302,72030206,DBC UK: Rolling Stock Trials (CL. 345)
302,72030207,DBC UK: Rolling Stock Trials (Cl. 385)
303,72030304,English Welsh And Scottish Railway Ltd
303,72030305,RES: British Pullman
304,72030404,English Welsh And Scottish Railway Ltd
330,72033027,DBC UK: Company Train
1000,51100030,Rylestone To Hull/Leeds
1200,59120000,DBC UK: Merehead / Whatley - Chelmsford
1200,59120001,DBC UK: Merehead / Whatley - Exeter Riverside
1200,59120002,DBC UK: Merehead / Whatley - Avonmouth
1200,59120003,DBC UK: Merehead / Whatley - Newhaven
1200,59120004,DBC UK: Merehead / Whatley - Ferme Park
1200,59120020,DBC UK: Merehead / Whatley - Acton Trunk Services
1200,59120021,DBC UK: Merehead / Whatley - Allington
1200,59120022,DBC UK: Merehead / Whatley - Angerstein Wharf
1200,59120023,DBC UK: Merehead / Whatley - Appleford
1200,59120024,DBC UK: Merehead / Whatley - Ardingly
1200,59120025,DBC UK: Merehead / Whatley - Battersea
1200,59120026,DBC UK: Merehead / Whatley - Botley
1200,59120027,DBC UK: Merehead / Whatley - Bow
1200,59120028,DBC UK: Merehead / Whatley - Brentford
1200,59120029,DBC UK: Merehead / Whatley - Chichester
1200,59120030,DBC UK: Merehead / Whatley - Colnbrook
1200,59120031,DBC UK: Merehead / Whatley - Crawley
1200,59120032,DBC UK: Merehead / Whatley - Dagenham
1200,59120033,DBC UK: Merehead / Whatley - Eastleigh
1200,59120034,DBC UK: Merehead / Whatley - Fareham
1200,59120035,DBC UK: Merehead / Whatley - Hamworthy
1200,59120036,DBC UK: Merehead / Whatley - Harlow Mill
1200,59120037,DBC UK: Merehead / Whatley - Oxford Banbury Road
1200,59120038,DBC UK: Merehead / Whatley - Purfleet
1200,59120039,DBC UK: Merehead / Whatley - Purley
1200,59120040,DBC UK: Merehead / Whatley - Sevington
1200,59120041,DBC UK: Merehead / Whatley - Thames Haven
1200,59120042,DBC UK: Merehead / Whatley - Theale Fy
1200,59120043,DBC UK: Merehead / Whatley - Theale Hanson
1200,59120044,DBC UK: Merehead / Whatley - Tolworth
1200,59120045,DBC UK: Merehead / Whatley - Watford
1200,59120046,DBC UK: Merehead / Whatley - West Drayton
1200,59120047,DBC UK: Merehead / Whatley - Woking
1200,59120048,DBC UK: Merehead / Whatley - Wootton Bassett
1200,59120049,DBC UK: Merehead / Whatley - Other Destinations
1201,56120120,Bardon/Acton/Angerstein
1202,56120220,DB Schenker: Croft - Ferme Park
1202,56120221,EWS : Croft To Various (Bldg Blocks)
1203,57120320,DBC UK: Cliffe Hill Stud Farm - Allington
1203,57120321,DBC UK: Cliffe Hill Stud Farm - West Drayton
1203,57120322,DBC UK: Grain - Crawley
1203,57120323,DBC UK: Grain - Theale FY
1203,57120324,DBC UK: Grain - West Ruislip
1203,57120325,DBC UK: Grain - Ferme Park
1203,57120348,DBC UK: Cliffe Hill Stud Farm - Other Destinations
1203,57120349,DBC UK: Grain - Other Destinations
1204,55120420,EWS : Bulk : Various - Bow East Depot
1204,59120420,DBC UK: Burngullow - Bow Depot
1205,57120520,DB Schenker: Newhaven - Brentford
1205,59120520,Merehead/Avonmouth
1206,56120620,DBC UK: Mountsorrel - Elstow
1206,56120621,DBC UK: Mountsorrel - Harlow Mill
1206,56120622,DBC UK: Mountsorrel - Chesterton Jn
1206,56120623,DBC UK: Mountsorrel - Northampton
1206,56120624,DBC UK: Mountsorrel - Barham
1206,56120625,DBC UK: Mountsorrel - Banbury
1206,56120626,DBC UK: Mountsorrel - Broxbourne
1206,56120627,DBC UK: Mountsorrel - Chelmsford
1206,56120628,DBC UK: Mountsorrel - Langley Jn
1206,56120629,DBC UK: Mountsorrel - Other Destinations
1206,56120630,DBC UK: Mountsorrel - Peterborough
1206,56120631,DBC UK: Mountsorrel - Kennett
1206,56120632,DBC UK: Mountsorrel - Norwich Trowse
1206,56120633,DBC UK: Mountsorrel - Radlett
1206,56120634,DBC UK: Mountsorrel - Luton
1207,56120720,DBC UK: Stud Farm / Marks Tey to Various
1207,56120721,DBC UK: South Wales / Westbury
1207,56120722,DBC UK: Stud Farm - Bury St. Edmunds / Marks Tey
1207,56120723,DBC UK: Moreton-On-Lugg-Elstow
1207,56120724,DBC UK: Moreton-On-Lugg-Radlett
1207,56120725,DBC UK: Moreton-On-Lugg-Trowse
1208,57120820,DBC UK: Cliffe - Battersea
1208,57120821,DBC UK: Cliffe - Crawley
1208,57120822,DBC UK: Cliffe - Purley
1208,57120823,DBC UK: Cliffe - Tolworth
1208,57120824,DBC UK: Cliffe - Neasden
1209,51120920,DBC UK: Tunstead to Various
1209,57120920,English Welsh And Scottish Railway Ltd
1210,22121008,VSOE
1210,57121020,DBC UK: Angerstein Wharf to Various
1211,55121120,Wbb Minerals : Middleton Towers-Barnby Dun/Monk Bretton
1212,53121220,DBC UK: Ketton / Clitheroe - St. Pancras
1213,52121320,DBC UK: Clitheroe - Mossend
1214,55121420,DBC UK: Middleton Towers - Ellesmere Port
1214,58121420,Lafarge Aggregates:Southampton-West Drayton
1215,59121520,Mendip Rail: Tytherington To West Drayton
1216,55121620,DBC UK: Ipswich - Watford
